tickerA,tickerB,sector,entryDate,peakDate,exitDate,peakZ,exitZ,spreadMove,dollarPnl,cost,netPnl,holdDays
FTNT,WDAY,TECH,2026-01-14,2026-01-14,2026-03-03,2.7157,0.1056,0.60374479,603.74,8,595.74,32
MU,NXPI,SEMIS,2025-09-08,2025-09-10,2025-11-20,2.5936,-0.3262,0.56003058,560.03,8,552.03,53
MU,TXN,SEMIS,2025-09-05,2025-09-11,2025-11-18,2.5602,0.2116,0.51390219,513.9,8,505.9,52
GOLD,CLF,MINING,2026-01-06,2026-01-06,2026-02-25,2.9615,0.476,0.50420934,504.21,8,496.21,34
UNG,SLV,COMMODITY,2025-12-08,2025-12-09,2026-01-21,-3.039,0.0158,0.45149923,451.5,8,443.5,29
MU,ON,SEMIS,2025-09-04,2025-09-11,2025-11-18,2.7239,0.4414,0.44990265,449.9,8,441.9,53
MU,ADI,SEMIS,2025-09-10,2025-09-12,2025-11-18,2.4889,0.246,0.43772738,437.73,8,429.73,49
QCOM,MU,SEMIS,2025-12-22,2025-12-22,2026-02-24,-2.4778,-0.2383,0.43103893,431.04,8,423.04,42
ORCL,WDAY,TECH,2025-05-23,2025-05-23,2025-07-22,3.6269,0.2723,0.41877436,418.77,8,410.77,39
FTNT,NOW,TECH,2025-12-10,2025-12-15,2026-02-18,3.0843,0.3826,0.38920899,389.21,8,381.21,46
DHT,TRMD,SHIPPING,2026-01-05,2026-01-05,2026-03-06,-2.6307,0.4986,0.38380024,383.8,8,375.8,42
AA,MP,MINING,2025-11-25,2025-11-26,2026-01-16,2.6141,0.3427,0.364802,364.8,8,356.8,35
MU,SWKS,SEMIS,2025-12-19,2025-12-22,2026-02-04,2.5103,-0.0236,0.36382027,363.82,8,355.82,30
QCOM,ADI,SEMIS,2026-01-06,2026-01-09,2026-03-04,-3.3388,-0.492,0.3592094,359.21,8,351.21,39
PLTR,WDAY,TECH,2025-08-08,2025-08-11,2025-08-18,2.312,-0.0661,0.34928675,349.29,8,341.29,6
AMD,MU,SEMIS,2025-11-05,2025-11-06,2026-01-14,-3.3398,-0.4918,0.34278504,342.79,8,334.79,47
UNG,SLV,COMMODITY,2026-01-30,2026-01-30,2026-02-09,2.9384,0.2064,0.33921418,339.21,8,331.21,6
LMT,TDG,DEFENSE,2025-07-23,2025-07-23,2025-10-14,-2.7443,0.3449,0.32400068,324,8,316,58
ON,ADI,SEMIS,2025-07-10,2025-07-22,2025-09-12,2.5486,-0.3713,0.32022064,320.22,8,312.22,45
AMD,INTC,SEMIS,2025-09-18,2025-09-18,2025-11-06,-2.961,-0.1219,0.31107151,311.07,8,303.07,35
GOLD,AA,MINING,2026-01-05,2026-01-12,2026-02-23,3.0974,0.3028,0.31054219,310.54,8,302.54,33
PLTR,WDAY,TECH,2025-11-21,2025-11-25,2025-12-09,-2.7655,0.4814,0.30827772,308.28,8,300.28,11
FTNT,CRM,TECH,2026-01-13,2026-01-13,2026-02-24,2.742,-0.1096,0.30529203,305.29,8,297.29,28
FRO,DHT,SHIPPING,2026-02-06,2026-02-06,2026-03-11,-2.4849,-0.3869,0.29558659,295.59,8,287.59,22
DHT,NAT,SHIPPING,2026-01-05,2026-01-05,2026-03-06,-2.5841,0.1635,0.29295793,292.96,8,284.96,42
QCOM,LRCX,SEMIS,2025-12-19,2025-12-22,2026-02-04,-2.6857,-0.2855,0.28807669,288.08,8,280.08,30
SLB,MPC,ENERGY,2025-12-03,2025-12-04,2026-02-02,2.8652,0.3939,0.28326788,283.27,8,275.27,40
MU,TXN,SEMIS,2025-12-19,2025-12-22,2026-02-03,2.3983,0.4387,0.27526227,275.26,8,267.26,29
MU,ON,SEMIS,2025-12-19,2025-12-22,2026-02-04,2.2655,-0.0247,0.27285484,272.85,8,264.85,30
KTOS,HWM,DEFENSE,2025-07-10,2025-07-11,2025-08-29,3.436,0.2776,0.26692779,266.93,8,258.93,36
NVO,VRTX,PHARMA,2026-02-03,2026-02-03,2026-03-16,-3.2024,-0.4297,0.26627451,266.27,8,258.27,28
CRM,NET,TECH,2025-12-04,2025-12-05,2026-02-24,3.3967,-0.2818,0.26436978,264.37,8,256.37,54
QCOM,TXN,SEMIS,2026-01-09,2026-01-12,2026-02-20,-3.6908,-0.3578,0.26114591,261.15,8,253.15,28
PLTR,WDAY,TECH,2025-05-12,2025-05-12,2025-06-05,-2.2651,0.3848,0.25205503,252.06,8,244.06,17
RIO,CLF,MINING,2025-12-10,2025-12-10,2026-03-03,2.6151,-0.2803,0.25021493,250.21,8,242.21,55
STLA,ALV,AUTOS,2025-05-23,2025-05-28,2025-07-18,-2.6326,-0.4022,0.24903117,249.03,8,241.03,37
NEM,VALE,MINING,2025-07-23,2025-07-25,2025-10-09,3.1521,0.4608,0.24671749,246.72,8,238.72,55
PLTR,NOW,TECH,2026-03-06,2026-03-06,2026-03-12,-2.5379,0.1684,0.24125313,241.25,8,233.25,4
AMD,TXN,SEMIS,2025-10-07,2025-10-07,2025-11-06,3.2757,0.4141,0.23771693,237.72,8,229.72,22
ORCL,NOW,TECH,2025-06-13,2025-06-13,2025-08-18,3.1139,0.4679,0.23649439,236.49,8,228.49,44
HAL,MPC,ENERGY,2025-12-03,2025-12-05,2026-02-02,2.555,-0.26,0.23432207,234.32,8,226.32,40
INTC,ADI,SEMIS,2025-09-19,2025-09-19,2025-10-22,2.6995,0.3383,0.22911746,229.12,8,221.12,23
STLA,BWA,AUTOS,2025-07-31,2025-07-31,2025-09-15,-3.0588,-0.1763,0.2289649,228.96,8,220.96,31
INTC,MU,SEMIS,2025-05-12,2025-05-14,2025-06-27,-2.0681,-0.1342,0.22864529,228.65,8,220.65,32
GLD,SLV,COMMODITY,2025-11-26,2025-11-28,2026-02-20,-3.0274,0.3299,0.22804196,228.04,8,220.04,57
PLTR,NOW,TECH,2025-12-15,2025-12-15,2026-01-26,4.0305,0.234,0.22658782,226.59,8,218.59,27
CRWD,ZS,TECH,2025-11-12,2025-11-14,2025-12-18,3.1623,0.4383,0.22613016,226.13,8,218.13,25
SNOW,WDAY,TECH,2025-05-22,2025-05-22,2025-07-18,3.9733,0.1812,0.22611027,226.11,8,218.11,38
LMT,SAIC,DEFENSE,2026-01-09,2026-01-14,2026-02-26,3.1372,0.1339,0.22333688,223.34,8,215.34,32
NVO,AMGN,PHARMA,2026-02-03,2026-02-04,2026-03-12,-3.5552,-0.4443,0.22259007,222.59,8,214.59,26
CRM,WDAY,TECH,2025-11-24,2025-11-24,2026-01-13,-2.3937,0.3379,0.22181157,221.81,8,213.81,33
AMD,KLAC,SEMIS,2026-02-02,2026-02-03,2026-02-24,1.9783,-0.4759,0.22041861,220.42,8,212.42,15
AMD,AMAT,SEMIS,2025-09-18,2025-09-18,2025-11-05,-2.6953,-0.2175,0.21657122,216.57,8,208.57,34
AMD,KLAC,SEMIS,2025-09-05,2025-09-05,2025-10-23,-3.4248,0.4785,0.21624713,216.25,8,208.25,34
NET,DDOG,TECH,2025-11-03,2025-11-03,2025-11-25,2.4269,-0.4689,0.21586375,215.86,8,207.86,16
INTC,QCOM,SEMIS,2025-09-17,2025-09-18,2025-10-21,4.0064,0.4658,0.21486151,214.86,8,206.86,24
CRM,MDB,TECH,2026-01-13,2026-01-13,2026-02-24,-3.3757,-0.4889,0.21235527,212.36,8,204.36,28
FTNT,NET,TECH,2025-05-12,2025-05-12,2025-07-03,-2.7111,-0.4251,0.21219882,212.2,8,204.2,36
SLB,PSX,ENERGY,2025-12-04,2025-12-04,2026-01-29,2.5827,0.4309,0.2093626,209.36,8,201.36,37
PLTR,WDAY,TECH,2025-07-10,2025-07-11,2025-07-22,2.6902,-0.2285,0.20794142,207.94,8,199.94,8
MU,AMAT,SEMIS,2025-08-08,2025-08-11,2025-09-22,3.2625,0.2216,0.20730407,207.3,8,199.3,30
LMT,TDG,DEFENSE,2026-01-09,2026-01-09,2026-02-26,3.1586,0.1985,0.20712817,207.13,8,199.13,32
MU,ADI,SEMIS,2025-12-19,2025-12-22,2026-02-06,2.3321,-0.2121,0.20355699,203.56,8,195.56,32
PLTR,WDAY,TECH,2025-09-12,2025-09-16,2025-09-18,2.2317,0.0009,0.20189868,201.9,8,193.9,4
PLTR,NOW,TECH,2026-02-05,2026-02-06,2026-02-13,2.1827,0.4612,0.20040965,200.41,8,192.41,6
INTC,ON,SEMIS,2025-09-19,2025-09-19,2025-10-14,2.6799,0.4676,0.1981898,198.19,8,190.19,17
KTOS,HWM,DEFENSE,2025-09-16,2025-09-16,2025-10-14,2.695,0.4974,0.1981083,198.11,8,190.11,20
LRCX,ADI,SEMIS,2025-09-11,2025-09-12,2025-10-17,2.7064,0.3786,0.19798126,197.98,8,189.98,26
GM,BWA,AUTOS,2025-10-21,2025-10-21,2025-12-31,2.9188,0.3417,0.19780369,197.8,8,189.8,49
AMD,NXPI,SEMIS,2025-10-07,2025-10-07,2025-11-06,3.5128,0.3274,0.19684068,196.84,8,188.84,22
LRCX,ADI,SEMIS,2025-12-19,2025-12-19,2026-02-03,2.6534,0.404,0.19616838,196.17,8,188.17,29
LMT,RTX,DEFENSE,2026-01-02,2026-01-06,2026-02-26,2.9795,0.3082,0.19548151,195.48,8,187.48,37
NET,NOW,TECH,2025-05-12,2025-05-14,2025-07-01,2.4634,0.3799,0.19488362,194.88,8,186.88,34
MU,SWKS,SEMIS,2025-05-12,2025-05-13,2025-07-01,2.5083,0.0527,0.19250723,192.51,8,184.51,34
UNG,SLV,COMMODITY,2026-02-27,2026-02-27,2026-03-03,-1.6946,0.0887,0.19182385,191.82,8,183.82,2
PLTR,WDAY,TECH,2026-03-24,2026-03-25,2026-04-02,1.8576,0.1862,0.19063235,190.63,8,182.63,7
SCCO,CLF,MINING,2026-01-02,2026-01-05,2026-02-05,3.4842,0.3539,0.18898494,188.98,8,180.98,23
AMAT,SWKS,SEMIS,2025-09-12,2025-09-18,2025-10-30,2.7446,0.3767,0.18748636,187.49,8,179.49,34
AMAT,ADI,SEMIS,2025-09-15,2025-09-18,2025-10-21,2.77,0.3766,0.18628303,186.28,8,178.28,26
ORCL,WDAY,TECH,2025-09-10,2025-09-10,2025-09-25,3.8451,0.1149,0.18557691,185.58,8,177.58,11
SWKS,TXN,SEMIS,2026-01-06,2026-01-07,2026-02-06,-3.5257,-0.4653,0.18388234,183.88,8,175.88,22
CRM,PLTR,TECH,2026-01-13,2026-01-13,2026-02-25,-3.3042,-0.1091,0.18377321,183.77,8,175.77,29
LDOS,SAIC,DEFENSE,2025-08-05,2025-08-05,2025-10-13,4.0197,0.2849,0.18370147,183.7,8,175.7,48
QCOM,ON,SEMIS,2026-01-09,2026-01-13,2026-02-24,-3.2029,-0.2656,0.18315129,183.15,8,175.15,30
PLTR,NOW,TECH,2025-08-01,2025-08-07,2025-08-19,2.773,0.0709,0.1830887,183.09,8,175.09,12
ON,TXN,SEMIS,2025-07-18,2025-07-23,2025-08-04,3.9531,-0.0187,0.18265751,182.66,8,174.66,11
KTOS,TDG,DEFENSE,2025-09-10,2025-09-16,2025-10-14,2.3725,0.297,0.18205857,182.06,8,174.06,24
PLTR,WDAY,TECH,2025-06-18,2025-06-25,2025-07-01,2.0444,0.2945,0.18186604,181.87,8,173.87,8
NVO,REGN,PHARMA,2025-10-29,2025-10-29,2025-12-03,-2.5361,-0.2773,0.1815714,181.57,8,173.57,24
SNOW,WDAY,TECH,2026-02-04,2026-02-04,2026-03-03,-2.9534,-0.2902,0.1813812,181.38,8,173.38,18
LMT,LDOS,DEFENSE,2026-01-12,2026-01-14,2026-02-26,2.887,0.3817,0.17791131,177.91,8,169.91,31
ORCL,WDAY,TECH,2026-02-04,2026-02-04,2026-03-03,-2.5083,-0.0499,0.17716748,177.17,8,169.17,18
FRO,NAT,SHIPPING,2026-02-24,2026-02-24,2026-03-23,2.6035,-0.4542,0.17624253,176.24,8,168.24,19
LMT,GD,DEFENSE,2026-01-09,2026-01-09,2026-02-26,3.2512,0.1306,0.17614461,176.14,8,168.14,32
DDOG,PLTR,TECH,2026-02-04,2026-02-05,2026-02-11,-2.3938,0.473,0.17454768,174.55,8,166.55,5
INTC,MU,SEMIS,2025-09-25,2025-09-26,2025-10-06,1.865,0.3193,0.17317055,173.17,8,165.17,7
FTNT,ORCL,TECH,2025-09-10,2025-09-10,2025-09-25,-4.1135,-0.2429,0.17188142,171.88,8,163.88,11
LMT,HII,DEFENSE,2026-01-02,2026-01-06,2026-02-25,2.9262,0.2591,0.17187379,171.87,8,163.87,36
GOLD,BHP,MINING,2026-01-08,2026-01-12,2026-01-14,3.3498,-0.4354,0.16940023,169.4,8,161.4,4
ESLT,BWXT,DEFENSE,2026-02-19,2026-02-23,2026-03-23,2.9706,0.3708,0.16909772,169.1,8,161.1,22
KLAC,ADI,SEMIS,2026-01-16,2026-01-16,2026-02-25,2.4592,-0.2354,0.16776604,167.77,8,159.77,26
MS,PNC,US_BANKS,2026-01-15,2026-01-15,2026-02-23,2.8997,-0.2623,0.1663877,166.39,8,158.39,25
PANW,WDAY,TECH,2025-05-21,2025-05-21,2025-07-01,-2.9179,0.1918,0.16591596,165.92,8,157.92,27
CRM,ORCL,TECH,2025-05-23,2025-05-23,2025-06-27,-3.0586,-0.4066,0.16586037,165.86,8,157.86,23
LMT,BWXT,DEFENSE,2026-01-08,2026-01-09,2026-02-25,2.7114,0.2265,0.16428494,164.28,8,156.28,32
MU,TXN,SEMIS,2026-03-26,2026-03-30,2026-04-08,-2.1694,-0.1606,0.16355164,163.55,8,155.55,8
PWR,VST,INFRA,2026-01-16,2026-01-16,2026-03-05,3.1701,0.3863,0.16195257,161.95,8,153.95,32
AMD,ADI,SEMIS,2025-11-19,2025-11-21,2025-12-19,-2.7859,-0.3203,0.16108251,161.08,8,153.08,21
AMD,ADI,SEMIS,2025-07-15,2025-07-15,2025-08-12,2.587,0.3389,0.15981459,159.81,8,151.81,20
ORCL,NOW,TECH,2025-09-10,2025-09-10,2025-09-26,3.5833,0.155,0.15945181,159.45,8,151.45,12
KTOS,TDG,DEFENSE,2026-02-02,2026-02-02,2026-02-04,-1.7522,-0.3246,0.1587551,158.76,8,150.76,2
STLA,APTV,AUTOS,2026-02-06,2026-02-06,2026-02-23,-3.6432,-0.2365,0.15833446,158.33,8,150.33,10
LRCX,SWKS,SEMIS,2025-09-10,2025-09-11,2025-10-10,3.0665,0.3975,0.15798596,157.99,8,149.99,22
ESLT,KTOS,DEFENSE,2026-02-05,2026-02-05,2026-02-19,2.3118,-0.2602,0.15768636,157.69,8,149.69,9
NAT,TRMD,SHIPPING,2026-02-11,2026-02-11,2026-03-25,3.1315,0.4149,0.15743999,157.44,8,149.44,29
UNG,SLV,COMMODITY,2026-03-18,2026-03-20,2026-03-31,2.1919,-0.2453,0.15698096,156.98,8,148.98,9
AMAT,SWKS,SEMIS,2026-01-02,2026-01-05,2026-02-06,3.2102,-0.4847,0.15578143,155.78,8,147.78,24
GOLD,BHP,MINING,2026-02-06,2026-02-09,2026-02-17,2.7413,0.158,0.15479691,154.8,8,146.8,6
AMD,SWKS,SEMIS,2025-10-07,2025-10-07,2025-11-07,3.152,0.4732,0.15389483,153.89,8,145.89,23
ABBV,BMY,PHARMA,2025-07-31,2025-08-01,2025-10-15,2.992,0.0955,0.15327295,153.27,8,145.27,53
AMAT,ON,SEMIS,2025-09-12,2025-09-18,2025-10-20,2.6754,0.2144,0.1530409,153.04,8,145.04,26
SCCO,AA,MINING,2026-01-09,2026-01-12,2026-02-12,2.6931,0.3804,0.15170618,151.71,8,143.71,23
MU,KLAC,SEMIS,2026-02-02,2026-02-02,2026-02-09,2.5989,0.176,0.15143239,151.43,8,143.43,5
NEE,XEL,INFRA,2026-01-07,2026-01-07,2026-02-26,-2.7509,0.2554,0.15124946,151.25,8,143.25,34
GOLD,RIO,MINING,2026-01-09,2026-01-12,2026-01-14,2.8469,-0.1904,0.15011609,150.12,8,142.12,3
LRCX,ON,SEMIS,2025-09-08,2025-09-11,2025-10-10,3.0521,0.1827,0.14991599,149.92,8,141.92,24
LRCX,TXN,SEMIS,2025-09-08,2025-09-11,2025-10-10,2.9288,0.019,0.14917318,149.17,8,141.17,24
QCOM,NXPI,SEMIS,2026-01-09,2026-01-12,2026-02-20,-3.3471,-0.2729,0.14909525,149.1,8,141.1,28
BHP,TECK,MINING,2025-07-10,2025-07-11,2025-08-29,2.5435,0.033,0.14816006,148.16,8,140.16,36
GOLD,FCX,MINING,2025-09-25,2025-09-25,2025-10-06,2.5617,0.1617,0.14798088,147.98,8,139.98,7
INTC,LRCX,SEMIS,2026-03-06,2026-03-06,2026-03-17,1.9122,-0.3765,0.14706668,147.07,8,139.07,7
LLY,NVO,PHARMA,2025-10-30,2025-11-03,2025-12-03,3.0808,0.1941,0.14649541,146.5,8,138.5,23
MU,NXPI,SEMIS,2025-08-07,2025-08-11,2025-08-15,2.7669,0.1334,0.146157,146.16,8,138.16,6
TXN,NXPI,SEMIS,2026-01-06,2026-01-06,2026-02-19,3.5144,0.1858,0.1460496,146.05,8,138.05,30
PLTR,NOW,TECH,2025-06-20,2025-06-20,2025-07-02,1.9093,-0.4292,0.14599666,146,8,138,8
UNG,SLV,COMMODITY,2025-10-08,2025-10-13,2025-10-22,-2.5391,0.4625,0.1452729,145.27,8,137.27,10
ORCL,WDAY,TECH,2025-10-16,2025-10-16,2025-10-29,1.936,-0.4707,0.14484301,144.84,8,136.84,9
ESLT,BWXT,DEFENSE,2025-12-15,2025-12-17,2026-01-30,2.6788,0.2973,0.14471813,144.72,8,136.72,31
EOG,DVN,ENERGY,2026-02-12,2026-02-13,2026-04-01,2.3123,0.3893,0.14319707,143.2,8,135.2,33
GLD,UNG,COMMODITY,2025-09-02,2025-09-02,2025-10-21,2.9748,0.408,0.14308839,143.09,8,135.09,35
MRK,NVO,PHARMA,2026-02-03,2026-02-03,2026-03-05,3.319,0.2703,0.14304389,143.04,8,135.04,21
MU,AMAT,SEMIS,2025-05-19,2025-05-19,2025-06-27,2.2554,0.4347,0.14261427,142.61,8,134.61,27
MU,ON,SEMIS,2026-03-31,2026-03-31,2026-04-08,-1.9283,-0.2263,0.14196216,141.96,8,133.96,5
AMD,AMAT,SEMIS,2025-11-19,2025-11-19,2025-12-19,-2.6742,0.0564,0.14147478,141.47,8,133.47,21
DDOG,NOW,TECH,2025-11-06,2025-11-06,2025-11-20,3.9837,-0.2446,0.14141605,141.42,8,133.42,10
GOLD,TECK,MINING,2026-02-09,2026-02-09,2026-02-18,2.4263,0.0963,0.14132484,141.32,8,133.32,6
NEE,AES,INFRA,2026-01-07,2026-01-07,2026-02-26,-2.894,0.3177,0.14111175,141.11,8,133.11,34
NVDA,KLAC,SEMIS,2025-06-26,2025-06-26,2025-08-22,2.5041,-0.1807,0.14075077,140.75,8,132.75,40
INTC,AMAT,SEMIS,2026-01-21,2026-01-21,2026-01-28,2.5064,-0.136,0.14042149,140.42,8,132.42,5
MU,SWKS,SEMIS,2026-03-16,2026-03-17,2026-03-23,2.7702,-0.1868,0.13962632,139.63,8,131.63,5
NVDA,ON,SEMIS,2025-06-26,2025-06-26,2025-08-22,2.5374,-0.3456,0.13951984,139.52,8,131.52,40
FTNT,ZS,TECH,2026-02-27,2026-02-27,2026-03-06,1.6404,0.0694,0.13949793,139.5,8,131.5,5
MU,LRCX,SEMIS,2025-11-06,2025-11-14,2025-11-20,3.0996,-0.3957,0.13915892,139.16,8,131.16,10
GOLD,VALE,MINING,2026-01-09,2026-01-12,2026-01-14,3.7645,-0.0192,0.1382315,138.23,8,130.23,3
USO,UNG,COMMODITY,2026-03-03,2026-03-06,2026-04-08,3.0642,0.3398,0.13811675,138.12,8,130.12,25
JNJ,VRTX,PHARMA,2025-07-16,2025-07-16,2025-08-28,3.7369,0.1751,0.13781667,137.82,8,129.82,31
INTC,MU,SEMIS,2026-03-16,2026-03-17,2026-03-23,-2.7806,-0.0582,0.13774397,137.74,8,129.74,5
NOC,SAIC,DEFENSE,2026-01-09,2026-01-14,2026-02-26,2.9737,0.3453,0.13700918,137.01,8,129.01,32
INTC,MU,SEMIS,2025-12-02,2025-12-03,2025-12-08,2.3529,0.0962,0.13694171,136.94,8,128.94,4
ORCL,WDAY,TECH,2025-11-24,2025-11-25,2025-12-03,-2.2206,-0.1559,0.13671574,136.72,8,128.72,6
TSM,TXN,SEMIS,2025-09-08,2025-09-10,2025-10-21,2.4748,0.1267,0.13602098,136.02,8,128.02,31
HAL,SLB,ENERGY,2026-01-05,2026-01-05,2026-02-20,-3.0308,0.1571,0.13526223,135.26,8,127.26,32
FTNT,ZS,TECH,2025-11-28,2025-11-28,2026-01-07,2.3415,-0.3277,0.1351071,135.11,8,127.11,26
ORCL,SNOW,TECH,2025-06-13,2025-06-13,2025-08-14,3.0952,-0.3098,0.13507228,135.07,8,127.07,42
CRWD,ZS,TECH,2026-01-08,2026-01-09,2026-02-26,3.5742,-0.2574,0.13431204,134.31,8,126.31,33
BWXT,TDG,DEFENSE,2025-05-23,2025-05-23,2025-07-01,3.9288,0.1005,0.13417399,134.17,8,126.17,25
HAL,EOG,ENERGY,2025-12-09,2025-12-09,2026-01-28,2.9131,-0.3063,0.13379343,133.79,8,125.79,33
ESLT,KTOS,DEFENSE,2025-12-16,2025-12-17,2026-01-05,2.7321,-0.4629,0.13361406,133.61,8,125.61,12
NET,DDOG,TECH,2025-05-12,2025-05-12,2025-06-12,2.7639,0.0915,0.13355369,133.55,8,125.55,22
FTNT,ORCL,TECH,2025-08-08,2025-08-08,2025-08-20,-2.7199,-0.377,0.13316414,133.16,8,125.16,8
NET,PLTR,TECH,2025-05-12,2025-05-12,2025-06-12,3.0841,0.1299,0.13284613,132.85,8,124.85,22
MDB,WDAY,TECH,2026-03-03,2026-03-03,2026-03-16,-2.8014,-0.456,0.13220086,132.2,8,124.2,9
ZS,CRM,TECH,2025-11-28,2025-11-28,2026-01-07,-2.2779,-0.1502,0.13147249,131.47,8,123.47,26
GOLD,AA,MINING,2026-03-06,2026-03-09,2026-04-08,-2.4616,0.2094,0.13146751,131.47,8,123.47,22
AMD,SWKS,SEMIS,2025-07-11,2025-07-15,2025-08-12,2.7679,0.4811,0.13128526,131.29,8,123.29,22
DDOG,MDB,TECH,2025-12-02,2025-12-02,2026-01-07,-1.7272,-0.1587,0.13123734,131.24,8,123.24,24
BHP,SCCO,MINING,2025-09-05,2025-09-08,2025-10-21,-2.2616,-0.0961,0.131238,131.24,8,123.24,32
INTC,LRCX,SEMIS,2026-03-24,2026-03-24,2026-03-27,-1.5888,0.118,0.13122299,131.22,8,123.22,3
EOG,FANG,ENERGY,2026-02-12,2026-02-13,2026-04-01,2.3434,0.4029,0.13119973,131.2,8,123.2,33
NEM,VALE,MINING,2025-10-13,2025-10-16,2025-10-21,2.9822,-0.4849,0.1311237,131.12,8,123.12,6
PLTR,WDAY,TECH,2025-09-26,2025-09-26,2025-10-03,-1.6071,-0.4085,0.1310278,131.03,8,123.03,5
AMD,AMAT,SEMIS,2026-02-04,2026-02-05,2026-03-04,-2.462,-0.312,0.13084977,130.85,8,122.85,19
CRM,DDOG,TECH,2026-01-16,2026-01-21,2026-02-20,-2.6152,-0.4295,0.13012648,130.13,8,122.13,23
INTC,MU,SEMIS,2025-07-23,2025-07-23,2025-08-06,2.0014,-0.4218,0.13012227,130.12,8,122.12,10
FCX,VALE,MINING,2025-09-25,2025-09-25,2025-10-07,-3.193,-0.4154,0.12993903,129.94,8,121.94,8
KTOS,TDG,DEFENSE,2026-03-18,2026-03-18,2026-03-24,2.1102,-0.1344,0.12985769,129.86,8,121.86,4
AMD,INTC,SEMIS,2026-02-04,2026-02-05,2026-02-24,-2.1854,-0.0369,0.1298251,129.83,8,121.83,13
ESLT,KTOS,DEFENSE,2025-08-08,2025-08-12,2025-08-20,-2.8623,-0.4731,0.12967801,129.68,8,121.68,8
NET,WDAY,TECH,2025-11-21,2025-11-21,2025-11-26,-2.139,0.0236,0.12960818,129.61,8,121.61,3
STNG,DHT,SHIPPING,2026-02-09,2026-02-17,2026-03-06,-2.6507,-0.3294,0.12959944,129.6,8,121.6,18
NOC,TDG,DEFENSE,2025-07-22,2025-07-22,2025-08-27,4.0795,0.4772,0.12946904,129.47,8,121.47,26
SNOW,WDAY,TECH,2025-08-28,2025-08-28,2025-09-17,3.4171,-0.4308,0.12917352,129.17,8,121.17,13
AMAT,ON,SEMIS,2025-07-31,2025-08-04,2025-09-05,2.1372,-0.3131,0.12916069,129.16,8,121.16,25
GOLD,RIO,MINING,2026-02-09,2026-02-09,2026-02-12,2.2694,0.1459,0.12911482,129.11,8,121.11,3
INTC,MU,SEMIS,2026-01-23,2026-01-23,2026-02-04,-2.3525,0.2791,0.129098,129.1,8,121.1,8
EOG,PSX,ENERGY,2026-02-11,2026-02-13,2026-04-01,2.3709,0.4546,0.12885375,128.85,8,120.85,34
NEM,FCX,MINING,2025-10-14,2025-10-16,2025-10-21,2.9446,-0.4627,0.12877365,128.77,8,120.77,5
MU,ON,SEMIS,2026-03-18,2026-03-18,2026-03-23,2.2166,-0.2017,0.12867556,128.68,8,120.68,3
ORCL,NOW,TECH,2026-03-06,2026-03-06,2026-03-11,-2.2436,0.403,0.12865103,128.65,8,120.65,3
GOLD,VALE,MINING,2026-02-06,2026-02-09,2026-02-23,2.7633,-0.0356,0.12847693,128.48,8,120.48,10
FCX,RIO,MINING,2025-09-25,2025-09-25,2025-10-08,-3.5316,-0.4827,0.12839836,128.4,8,120.4,9
NEM,BHP,MINING,2025-10-13,2025-10-16,2025-10-21,3.0702,-0.4543,0.12808602,128.09,8,120.09,6
MRK,REGN,PHARMA,2025-05-13,2025-05-14,2025-06-17,-2.612,0.4705,0.12756083,127.56,8,119.56,24
ZS,WDAY,TECH,2026-02-23,2026-02-23,2026-02-26,-2.2582,-0.0448,0.12564809,125.65,8,117.65,3
DDOG,PLTR,TECH,2026-02-23,2026-02-23,2026-02-26,-2.2357,-0.2394,0.12555691,125.56,8,117.56,3
ORCL,NET,TECH,2025-10-31,2025-10-31,2025-12-04,-2.3831,-0.0548,0.12555433,125.55,8,117.55,23
GOLD,BHP,MINING,2025-09-15,2025-09-16,2025-09-25,2.1663,-0.3702,0.12554547,125.55,8,117.55,8
F,BWA,AUTOS,2026-02-04,2026-02-11,2026-02-24,-3.6948,-0.375,0.12524426,125.24,8,117.24,13
AMD,AMAT,SEMIS,2025-07-16,2025-07-16,2025-08-12,2.1044,0.4335,0.12489294,124.89,8,116.89,19
PLTR,WDAY,TECH,2025-10-29,2025-10-29,2025-11-14,2.2622,-0.1457,0.12465151,124.65,8,116.65,12
STLA,TM,AUTOS,2025-09-04,2025-09-08,2025-09-11,-2.844,0.1014,0.12455697,124.56,8,116.56,5
AMD,ON,SEMIS,2025-11-20,2025-11-20,2025-12-24,-3.0389,-0.2127,0.12454495,124.54,8,116.54,23
AMD,TXN,SEMIS,2026-02-02,2026-02-04,2026-02-24,-2.8671,0.2342,0.12451293,124.51,8,116.51,15
NEM,SCCO,MINING,2025-10-13,2025-10-16,2025-10-21,3.1418,-0.4855,0.12418632,124.19,8,116.19,6
HAL,VLO,ENERGY,2025-08-20,2025-08-20,2025-09-23,-2.6734,-0.4729,0.12404583,124.05,8,116.05,23
NEM,RIO,MINING,2025-10-13,2025-10-16,2025-10-22,3.0589,-0.466,0.12401918,124.02,8,116.02,7
INTC,MU,SEMIS,2025-08-08,2025-08-08,2025-08-14,-2.0237,0.2367,0.12396195,123.96,8,115.96,4
EOG,MPC,ENERGY,2026-02-11,2026-02-13,2026-04-01,2.3229,0.3556,0.12391067,123.91,8,115.91,34
ESLT,TDG,DEFENSE,2026-03-03,2026-03-04,2026-03-30,2.4893,0.1013,0.12286892,122.87,8,114.87,19
